DataZone,PostCode,Latitude,Longitude,Eastings,Northings,AvDistance,wkt,Picked
S01012389,"ZE2 9EG",60.79933145,-0.8213937,464139,1213440,82049,"POINT(464139 1213440)",0
S01012389,"ZE2 9GG",60.00150435,-1.23091497,442891,1124264,10167,"POINT(442891 1124264)",0
S01012389,"ZE2 9HH",60.00032578,-1.24455198,442132,1124124,10311,"POINT(442132 1124124)",0
S01012389,"ZE2 9HJ",60.00157261,-1.24586843,442057,1124262,10324,"POINT(442057 1124262)",0
S01012389,"ZE2 9HN",60.00481009,-1.23571613,442619,1124629,10166,"POINT(442619 1124629)",0
S01012389,"ZE2 9HP",60.00768247,-1.22469154,443230,1124956,10371,"POINT(443230 1124956)",0
S01012389,"ZE2 9HS",60.00557371,-1.22804074,443046,1124719,10225,"POINT(443046 1124719)",0
S01012389,"ZE2 9HT",60.00082213,-1.23096667,442889,1124188,10187,"POINT(442889 1124188)",0
S01012389,"ZE2 9HU",59.99949665,-1.24247301,442249,1124033,10294,"POINT(442249 1124033)",0
S01012389,"ZE2 9HW",59.99827272,-1.2280674,443054,1123906,10381,"POINT(443054 1123906)",0
S01012389,"ZE2 9HZ",60.00654815,-1.22728272,443087,1124828,10267,"POINT(443087 1124828)",0
S01012389,"ZE2 9JL",60.00277471,-1.23007852,442936,1124406,10164,"POINT(442936 1124406)",1
S01012389,"ZE2 9JN",60.00530271,-1.2480073,441933,1124676,10420,"POINT(441933 1124676)",0
S01012389,"ZE2 9NU",59.99647788,-1.24067741,442353,1123698,10459,"POINT(442353 1123698)",0
S01012389,"ZE2 9NZ",59.99650155,-1.24637827,442035,1123697,10573,"POINT(442035 1123697)",0
S01012389,"ZE2 9UE",60.37099894,-1.13204197,447864,1165477,37410,"POINT(447864 1165477)",0
S01012389,"ZE2 9UJ",60.37099894,-1.13204197,447864,1165477,37410,"POINT(447864 1165477)",0
S01012389,"ZE2 9WJ",59.99976933,-1.23369865,442738,1124069,10212,"POINT(442738 1124069)",0
S01011831,"KW17 2AE",59.12139665,-2.60963744,365102,1026174,11590,"POINT(365102 1026174)",0
S01011831,"KW17 2AF",59.09991915,-2.58682206,366387,1023771,12756,"POINT(366387 1023771)",0
S01011831,"KW17 2AG",59.11066531,-2.57584626,367026,1024962,12143,"POINT(367026 1024962)",0
S01011831,"KW17 2AJ",59.0947432,-2.59331451,366010,1023198,13154,"POINT(366010 1023198)",0
S01011831,"KW17 2AN",59.10085217,-2.65642959,362401,1023912,13629,"POINT(362401 1023912)",0
S01011831,"KW17 2AS",59.14108419,-2.58621534,366462,1028354,10851,"POINT(366462 1028354)",0
S01011831,"KW17 2AT",59.14176749,-2.63571237,363631,1028456,11233,"POINT(363631 1028456)",0
S01011831,"KW17 2AU",59.03848195,-2.57347104,367093,1016924,18528,"POINT(367093 1016924)",0
S01011831,"KW17 2AY",59.25461922,-2.5978444,365910,1041001,10626,"POINT(365910 1041001)",0
S01011831,"KW17 2AZ",59.28304074,-2.57892993,367016,1044156,12226,"POINT(367016 1044156)",0
S01011831,"KW17 2BA",59.22787723,-2.65830701,362433,1038056,11182,"POINT(362433 1038056)",0
S01011831,"KW17 2BB",59.25589541,-2.54870729,368713,1041119,10717,"POINT(368713 1041119)",0
S01011831,"KW17 2BE",59.36411435,-2.42486833,375851,1053117,20327,"POINT(375851 1053117)",0
S01011831,"KW17 2BG",59.38122194,-2.4084126,376798,1055016,22188,"POINT(376798 1055016)",0
S01011831,"KW17 2BJ",59.23382897,-2.59749812,365909,1038686,10069,"POINT(365909 1038686)",1
S01011831,"KW17 2BL",59.24426347,-2.57395958,367262,1039836,10144,"POINT(367262 1039836)",0
S01011831,"KW17 2BN",59.25636468,-2.57319842,367317,1041183,10544,"POINT(367317 1041183)",0
S01011831,"KW17 2BP",59.28368157,-2.45607421,374016,1044173,14055,"POINT(374016 1044173)",0
S01010698,"IV14 9AA",57.60126365,-4.52952478,248859,859597,26782,"POINT(248859 859597)",0
S01010698,"IV14 9AF",57.61238141,-4.48922002,251312,860745,28804,"POINT(251312 860745)",0
S01010698,"IV14 9AQ",57.58590873,-4.5449747,247872,857923,26307,"POINT(247872 857923)",0
S01010698,"IV14 9EW",57.57272597,-4.69686635,238737,856807,21244,"POINT(238737 856807)",0
S01010698,"IV22 2EE",57.57994743,-5.07421426,216218,858570,14956,"POINT(216218 858570)",0
S01010698,"IV22 2EG",57.58078925,-5.07175837,216369,858657,14956,"POINT(216369 858657)",0
S01010698,"IV22 2EH",57.57702043,-5.07960627,215881,858259,15040,"POINT(215881 858259)",0
S01010698,"IV22 2EJ",57.57438475,-5.08042084,215819,857968,15132,"POINT(215819 857968)",0
S01010698,"IV22 2EN",57.57999177,-5.07276211,216305,858571,14955,"POINT(216305 858571)",1
S01010698,"IV22 2EQ",57.57913776,-5.09777439,214806,858544,15286,"POINT(214806 858544)",0
S01010698,"IV22 2HJ",57.57830411,-5.17295627,210309,858659,17070,"POINT(210309 858659)",0
S01010698,"IV22 2PA",57.60576643,-5.29820918,202973,862071,20604,"POINT(202973 862071)",0
S01010698,"IV22 2PB",57.60506542,-5.29923421,202908,861996,20637,"POINT(202908 861996)",0
S01010698,"IV22 2PD",57.61361168,-5.3075978,202455,862971,21194,"POINT(202455 862971)",0
S01010698,"IV22 2PE",57.60183519,-5.30381441,202617,861650,20851,"POINT(202617 861650)",0
S01010698,"IV22 2PF",57.60350859,-5.30445201,202588,861838,20866,"POINT(202588 861838)",0
S01010698,"IV23 2PG",57.6846573,-4.67744268,240390,869215,22517,"POINT(240390 869215)",0
S01010698,"IV23 2PH",57.68566432,-4.68293713,240067,869340,22396,"POINT(240067 869340)",0
S01010698,"IV23 2PP",57.61565596,-4.68651513,239545,861559,20868,"POINT(239545 861559)",0
S01010698,"IV23 2PQ",57.69374616,-4.7662999,235136,870439,20983,"POINT(235136 870439)",0
S01010688,"IV22 2AG",57.53015846,-5.53044711,188669,854360,10557,"POINT(188669 854360)",0
S01010688,"IV22 2ES",57.55255253,-5.33764383,200327,856267,19548,"POINT(200327 856267)",0
S01010688,"IV22 2ET",57.5511064,-5.45907358,193058,856470,13556,"POINT(193058 856470)",0
S01010688,"IV22 2EU",57.53241118,-5.51481862,189617,854562,10949,"POINT(189617 854562)",0
S01010688,"IV22 2EW",57.54414392,-5.50513099,190264,855837,11491,"POINT(190264 855837)",0
