S01013467,EH52 5DG,55.92903912,-3.49847916,306385,671673,82211,POINT(306385 671673),0
S01013467,EH52 5EB,55.92969868,-3.49671167,306497,671744,82270,POINT(306497 671744),0
S01013467,EH52 5GA,55.92732604,-3.50188666,306168,671487,82233,POINT(306168 671487),0
S01013467,EH52 5GB,55.92788,-3.49993914,306291,671546,82190,POINT(306291 671546),0
S01013467,EH52 5PS,55.92662128,-3.50440455,306009,671412,82333,POINT(306009 671412),0
S01013467,EH52 5SQ,55.92862561,-3.4962701,306522,671624,82225,POINT(306522 671624),0
S01013467,EH52 5SR,55.92751886,-3.49786022,306420,671503,82190,POINT(306420 671503),0
S01013467,EH52 5SU,55.92761279,-3.49456628,306626,671509,82283,POINT(306626 671509),0
S01013462,EH52 6GX,55.93581877,-3.47510873,307861,672396,37877,POINT(307861 672396),0
S01013462,EH52 6GY,55.93653073,-3.47869028,307639,672480,37864,POINT(307639 672480),0
S01013462,EH52 6HP,55.94088134,-3.48309951,307374,672970,37976,POINT(307374 672970),0
S01013462,EH52 6HW,55.93662882,-3.47800553,307682,672490,37843,POINT(307682 672490),0
S01013462,EH52 6JJ,55.93760173,-3.47631333,307790,672596,37787,POINT(307790 672596),0
S01013462,EH52 6JN,55.93669558,-3.47693532,307749,672496,37824,POINT(307749 672496),0
S01013462,EH52 6JW,55.93627706,-3.47586266,307815,672448,37843,POINT(307815 672448),0
S01013462,EH52 6PG,55.93941827,-3.47321197,307988,672794,37775,POINT(307988 672794),0
S01013462,EH52 6PH,55.94084483,-3.4696472,308214,672948,37826,POINT(308214 672948),0
S01013462,EH52 6PJ,55.94214697,-3.46972854,308212,673093,37840,POINT(308212 673093),0
S01013462,EH52 6PL,55.94330252,-3.47154986,308101,673224,37851,POINT(308101 673224),0
S01013462,EH52 6PN,55.94758182,-3.47742981,307744,673708,38124,POINT(307744 673708),0
S01013462,EH52 6PP,55.95214817,-3.46152201,308748,674195,38569,POINT(308748 674195),0
S01013462,EH52 6PQ,55.94190994,-3.46094422,308760,673055,38132,POINT(308760 673055),0
S01013462,EH52 6PW,55.94566825,-3.47212004,308071,673488,37964,POINT(308071 673488),0
S01013462,EH52 6QT,55.95169491,-3.45653953,309058,674138,38686,POINT(309058 674138),0
S01013462,EH52 6QX,55.98255088,-3.45543904,309199,677570,41514,POINT(309199 677570),0
S01013462,EH52 6TN,55.93843541,-3.47648915,307781,672689,37776,POINT(307781 672689),0
S01013462,EH52 6XN,55.9371638,-3.48060376,307521,672553,37900,POINT(307521 672553),0
S01013455,EH30 9SH,55.99013001,-3.43523327,310477,678387,76596,POINT(310477 678387),0
S01013455,EH30 9SL,55.99284112,-3.45845536,309035,678719,76230,POINT(309035 678719),0
S01013455,EH30 9SN,55.98586693,-3.44168031,310065,677921,76133,POINT(310065 677921),0
S01013455,EH30 9SU,55.98362856,-3.43403059,310537,677662,76404,POINT(310537 677662),0
S01013455,EH49 7NB,55.98074265,-3.49687145,306610,677424,76495,POINT(306610 677424),0
S01013455,EH49 7RY,55.9792529,-3.50776166,305927,677273,76957,POINT(305927 677273),0
S01013455,EH52 6GB,55.98265765,-3.46312153,308720,677592,75638,POINT(308720 677592),0
S01013455,EH52 6PU,55.96108695,-3.46254783,308705,675191,76471,POINT(308705 675191),0
S01013455,EH52 6PY,55.96816915,-3.48877435,307085,676014,76416,POINT(307085 676014),0
S01013455,EH52 6PZ,55.97977268,-3.48716841,307213,677303,76136,POINT(307213 677303),0
S01013455,EH52 6QA,55.97672767,-3.47206554,308148,676944,75775,POINT(308148 676944),0
S01013455,EH52 6QB,55.98108403,-3.46168356,308806,677415,75613,POINT(308806 677415),0
S01013455,EH52 6QE,55.98357143,-3.45501249,309228,677683,75653,POINT(309228 677683),0
S01013455,EH52 6QF,55.98412184,-3.45482476,309241,677744,75673,POINT(309241 677744),0
S01013455,EH52 6QG,55.98329447,-3.45487384,309236,677652,75650,POINT(309236 677652),0
S01013455,EH52 6QH,55.98586186,-3.45663754,309132,677940,75735,POINT(309132 677940),0
S01013455,EH52 6QL,55.98225841,-3.45661427,309125,677539,75622,POINT(309125 677539),0
S01013455,EH52 6QN,55.96213348,-3.44621309,309727,675286,76616,POINT(309727 675286),0
S01013452,EH49 7GR,55.98413594,-3.5785846,301521,677915,131560,POINT(301521 677915),0
